,cadnum,secteur,complete_name,name,comment,X_UTM18S,Y_UTM18S,altitude,length,depth,explorers,exped,latitude,longitude,carto,explo_status
31,106016,Egg,PE8,PE8,Plateau Egg 8; trois entrees permettent accès. Bruit de rivière sous des blocs,487506.0,4452738.0,220,,,,unknown,-50.0774985,-75.1746148,,
32,106017,Egg,PE9,PE9,Plateau Egg 9; position hasardeuse?,487836.0,4452871.0,225,,,,unknown,-50.0763092,-75.1699985,,
33,106018,Egg,PE10,PE10,Deux puits fossiles,489278.0,4452871.0,216,,,,unknown,-50.0763369,-75.1498459,,
34,106019,Egg,Los Tres Rios,LosTresRios,,488833.0,4451227.0,325,,,,unknown,-50.0911147,-75.1561130,,
35,106020,Egg,Cueva del Dragon,CuevaDelDragon,,489409.0,4452098.0,187,,,,unknown,-50.0832916,-75.1480365,,
36,106021,Egg,Cueva del Zorro,CuevaDelZorro,,490088.0,4452354.0,105,,,,unknown,-50.0810008,-75.1385391,,
37,106022,Egg,AvenDesArchesPerdues,AvenDesArchesPerdues,"Gouffre en cours d'exploration, arret a moins 260, continue, fort courant d'air aspirant. Explore depuis la base du camp Egg.",489704.0,4451405.0,358,1431.0,31,"Alexandre Honiat, Jessica Morin-Buote, Olivier Gerard, Joel Tremoulet. ",UP2023,-50.0895295,-75.1439374,Alex Honiat,1.0
38,106023,Egg,GouffrePlusPlus,GouffrePlusPlus,"Gouffre en cours d'exploration, arret a moins 50, continue, puits en pleine surface plane de calcaire.",487708.0,4451733.0,238,133.0,88,"Franck Brehier, Cedric Roques ",UP2023,-50.0865416,-75.1718240,Dessin Therion de Tanguy,2.0
39,106024,Egg,PerteContact1,PerteContact1,"Perte au contact gres, non descendue, bon potentiel. Pointe par Franck Brehier, Cedric Roques ",486787.0,4451599.0,344,0.0,0,"Franck Brehier, Cedric Roques ",UP2023,-50.0877270,-75.1847028,,
40,106025,Egg,PerteContact2,PerteContact2,"Perte au contact gres, non descendue, bon potentiel. Pointe par Franck Brehier, Cedric Roques ",486872.0,4451692.0,343,0.0,0,"Franck Brehier, Cedric Roques ",UP2023,-50.0868924,-75.1835114,,
41,106026,Egg,GouffreAuxCometes,GouffreAuxCometes,"Gouffre pointe par Franck et Cedric, pres d'un champ de cometes et champignons de roche",487356.0,4451592.0,240,0.0,0,"Franck Brehier, Cedric Roques ",UP2023,-50.0878023,-75.1767491,,
42,106027,Egg,CampAvance1Egg,CampAvance1Egg,Camp avance mis en place durant l'expedition UP2023 par l'equipe de construction de cabane Egg.,487961.0,4451624.0,241,0.0,0,"Pointe par Cedric, sur VisoRando",UP2023,-50.0875271,-75.1682909,,
43,106028,Egg,PerteSousLeLac,PerteSousLeLac,"Lac et perte sur un P15 prometteur, pointe par Cedric sur VisoRando le 02.02.2023. Fait par Natalia, Laurence, Arnauld. P10 donne sur galerie, petite salle, fin sur etroiture horizontale.",488683.0,4451804.0,272,15.0,50,"Pointe par Cedric, sur VisoRando",UP2023,-50.0859224,-75.1581929,Croquis de Laurence,2.0
44,106029,Egg,PE11,PE11,"Zone de Dolines, gouffre au contact a voir. Pointe par Cedric le 02.02.2023",489165.0,4451956.0,247,0.0,0,"Cedric Roques, Alexandre Honiat",UP2023,-50.0845643,-75.1514510,,
45,106030,Egg,PE12,PE12,"Grosse entree verticale de plus de 15m, et depart horizontal a voir. Pointe par Cedric le 02.02.2023",488882.0,4451954.0,298,0.0,0,"Cedric Roques, Alexandre Honiat",UP2023,-50.0845771,-75.1554068,,
46,106031,Egg,PE13,PE13,"Gros gouffre a bon potentiel, pointe par Cedric le 02.02.2023",488836.0,4452012.0,301,0.0,0,"Cedric Roques, Alexandre Honiat",UP2023,-50.0840545,-75.1560481,,
47,106032,Egg,PE14,PE14,Miniperte avec resonnance. Pointee par Cedric et Alex le 02.02.2023,488805.0,4452001.0,292,0.0,0,"Cedric Roques, Alexandre Honiat",UP2023,-50.0841529,-75.1564818,,
48,106033,Egg,GouffreDuBowling,GouffreDuBowling,"Gouffre dit du Bowling, avec grande verticale, pointe par Cedric et Alex le 02.02.2023",488207.0,4452069.0,294,221.0,66,"Cedric Roques, Alexandre Honiat",UP2023,-50.0835297,-75.1648384,Dessins therion,1.0
49,106034,Egg,PE16,PE16,Gouffre p30 pointe par Cedric et Alex le 03.02.2023,488180.0,4451981.0,269,0.0,0,"Cedric Roques, Alexandre Honiat",UP2023,-50.0843207,-75.1652185,,
50,106035,Egg,AvenDesDeuxLacs,AvenDesDeuxLacs,"Tres belle perte, diametre de 10 m tres bon potentiel. par Cedric et Alex le 03.02.2023",487896.0,4452464.0,195,0.0,0,"Cedric Roques, Alexandre Honiat",UP2023,-50.0799709,-75.1691729,,
51,106036,Egg,CreuxDuRavin,CreuxDuRavin,"grondement d'eau, pointe par Cedric et Alex Honiat, trou de la jungle. Potentiel p20 ou p30, pointe 03.02.2023, cailloux instables, belle entree, cascade qui part derriere. ",488021.0,4452421.0,225,20.0,20,"Cedric Roques, Alexandre Honiat",UP2023,-50.0803602,-75.1674272,,
52,106037,Egg,PE17,PE17,"fracture avec P15, pointe par Alex Honiat et Cedric le 03.02.2023, puits sur fracture classique de lapiaz, prometteur",487820.0,4452246.0,217,15.0,15,"Cedric Roques, Alexandre Honiat",UP2023,-50.0819300,-75.1702421,,
53,106038,Egg,PE18,PE18,"gouffre pres de cometes et champignons, pointe par Cedric et Alex Honiat, ouverture de la faille sur 50m, p20-30, prometteur. Pointe le 03.02.2023, a la suture foret, calcaire",487614.0,4452043.0,195,20.0,20,"Cedric Roques, Alexandre Honiat",UP2023,-50.0837515,-75.1731279,,
54,106039,Egg,PE19,PE19,"gouffre p15 avec vasque au fond du puits d'entree, bel ecoulement possible, suite non exploree, pointe par Cedric et Alex Honiat le 03.02.2023. Non descendu",487509.0,4451996.0,186,15.0,15,"Cedric Roques, Alexandre Honiat",UP2023,-50.0841720,-75.1745971,,
55,106040,Egg,PE20,PE20,"Perte oblique partant a 45 degres, sur faille en milieu de lapiaz. Proximite de champignons de roche.",487429.0,4451968.0,199,30.0,30,"Cedric Roques, Alexandre Honiat",UP2023,-50.0844222,-75.1757162,,
56,106041,Egg,PE21,PE21,"Perte sur grand canyon et faille, p20-30 m, prometteur. Pointe par Alex Honiat et Cedric Roques le 03.02.2023, non descendu.",487515.0,4451922.0,198,20.0,20,"Cedric Roques, Alexandre Honiat",UP2023,-50.0848377,-75.1745156,,
57,106042,Egg,PE22,PE22,"p10 en bordure de foret avec depart visible au fond. Pointe par Alex Honiat et Cedric Roques le 03.02.2023, non descendu.",487431.0,4451884.0,189,10.0,10,"Cedric Roques, Alexandre Honiat",UP2023,-50.0851777,-75.1756910,,
58,106043,Egg,PE23,PE23,"perte au contact de la vegetation. Pointe par Alex Honiat et Cedric Roques le 03.02.2023, non descendu.",487436.0,4451702.0,210,20.0,20,"Cedric Roques, Alexandre Honiat",UP2023,-50.0868147,-75.1756271,,
59,106044,Egg,DentDuPiqueNique,DentDuPiqueNique,"Porche 3m de haut, 2m de large, pointe par Alex Honiat et Cedric Roques, meandre descendant dans petite tremie. Non topo, non explo le 03.02.2023",488108.0,4452010.0,247,30.0,10,"Cedric Roques, Alexandre Honiat",UP2023,-50.0840584,-75.1662240,,
60,106045,Egg,PE24,PE24,"Gouffre explore sur -30 Perte dans les calcaires proche du contact. Plan incline apres la doline d'entree. Pointe, explore par Franck et Jessica le 02.02.2023. Continuation derriere barrage de sediments, necessite corde, peu prometteur, a verifier.",486859.0,4452028.0,331,40.0,30,"Franck, Brehier, Jessica Morin-Buote",UP2023,-50.0838702,-75.1836815,,
61,106046,Egg,GouffreDuRhinoceros,GouffreDuRhinoceros,"Gouffre circulaire, p20 ressaut p20 et deux ressauts,  arret a -35 sur tremie. Pointe et explore par Joel Tremoulet, Alex Andrieu le 31.01.2023, croquis par Joel.",489629.0,4451375.0,328,42.0,30,"Alexandre Andrieu, Joel Tremoulet",UP2023,-50.0897980,-75.1449811,,
62,106047,Egg,TrouDuHaut,TrouDuHaut,"Gouffre sur une fracture, etroit. Pointe et explore par Joel Tremoulet et Alex Andrieu le 31.01.2023, Christine aussi la. Se retrecit sur la partie basse. Pincement sur bloc au fond. Estime -30, croquis de Joel, pas de courant d'air.",489902.0,4451300.0,301,30.0,30,"Alexandre Andrieu, Joel Tremoulet",UP2023,-50.0904773,-75.1411667,,
63,106048,Egg,TrouDeFiamat,TrouDeFiamat,"Un coup des italiens. Pointe par Joel, Christine et Alex le 29.01.2023, trou deja topographie par les Italiens, perte penetrable meandre avec jolies vasques. FIAMAT ecrit a l'entree (peinture blanche) ",489470.0,4451892.0,211,0.0,0,Les Italiens,UP2023,-50.0851454,-75.1471895,,
64,106049,Egg,Bramabio,Bramabio,Petite traversee a peine penetrable qui traverse une barre rocheuse.,489354.0,4451880.0,206,40.0,2,"Alexandre Andrieu, Joel Tremoulet, Christine Magot",UP2023,-50.0852512,-75.1488113,,
65,106050,Egg,PE25,PE25,"p20 non descendu, pointe par Alex Andrieu et Joel Tremoulet, Christine Magot le 29.01.2023. A descendre.",489645.0,4451788.0,271,20.0,20,"Alexandre Andrieu, Joel Tremoulet, Christine Magot",UP2023,-50.0860838,-75.1447462,,
66,106051,Egg,PE26,PE26,p15 bouche avec une tremie (gros cailloux) explore par Alex Andrieu le 29.01.2023,489585.0,4451271.0,325,15.0,15,"Alexandre Andrieu, Joel Tremoulet, Christine Magot",UP2023,-50.0907326,-75.1455990,,
67,106052,Egg,PE27,PE27,"p40 non descendu, a voir. Pointe par Alex Andrieu, Joel Tremoulet et Christine Magot le 29.01.2023. 4 m de diametre a l'entree, beau potentiel, plusieurs cannelures se jettent a l'interieur.",489719.0,4451403.0,330.4,40.0,40,"Alexandre Andrieu, Joel Tremoulet, Christine Magot",UP2023,-50.0895478,-75.1437222,,
68,106053,Egg,PE28,PE28,"p30 non descendu, a voir. Pointe par Alex Andrieu, Joel Tremoulet et Christine Magot le 02.02.2023. 6 x 10 m de diametre a l'entree, beau potentiel, plusieurs cannelures se jettent a l'interieur et fort debit de perte.",487664.0,4451452.0,243.1,30.0,30,"Alexandre Andrieu, Joel Tremoulet, Christine Magot",UP2023,-50.0890679,-75.1724481,,
69,106054,Egg,PE28,PE28,"Perte au fond d'une dalle, plusieurs cannelures viennent s'y jeter, meme par beau temps, ambiance aquatique, pointee par Olivier Guerard",489620.0,4451272.0,0,0.0,0,Olivier Guerard,UP2023,-50.0907242,-75.1451097,,
70,106055,Egg,Perte25MetresNageLibre,Perte25MetresNageLibre,"Perte bien arrosee, petit torrent par temps de pluie, entree par une tremie, beau meandre descendant dans marbre, plaquages de galets cimentes en abondance. P12 apres 60 m, 100 m meandre non topos derriere, puis affluent remontant 30 m non topo, siphonant. Aval  termine sur etroiture arrosee. A refaire par beau temps.",488575.0,4451682.0,262,77.0,41,"Charlotte Honiat, Alexandre Honiat, Cedric Roques, Lionel Ruiz ",UP2023,-50.0870176,-75.1597062,Dessin Therion de Tanguy,2.0
71,106056,Egg,PerteChampis,PerteChampis,Canyon qui se jette dans une perte. Beaucoup d'eau en periode de pluie. P20  et siphon immediat a sa base.,487409.0,4451595.0,210,34.0,27,"Charlotte Honiat, Cedric Roques, Lionel Ruiz ",UP2023,-50.0877765,-75.1760081,Dessin Therion de Tanguy,2.0
72,106057,Egg,GouffreDuDejaVu,GouffreDuDejaVu,"Gouffre double entree, p30, donne sur meandre actif et remonte en direction du 25M Nage Libre.",488596.0,4451785.0,280,151.0,34,"Natalia Morata, Laurence Boudoux-Hautefeuille, Arnauld Malard",UP2023,-50.0860916,-75.1594096,Dessin Therion de Tanguy,2.0
73,106058,Egg,Perte du Disto,PerteDuDisto,"Puit de 8m a  l'entree, puis 3 meandre qui se rejoignent avant d'arriver sur un siphon. Cavite termine",487919.0,4451318.0,240,200.0,40,"Katia, Clement, Denis",UP2023,-50.0902784,-75.1688876,,2.0
74,106059,Egg,El Pozo Granizo,ElPozoGranizo,"Puit de 80m presque vertical, bouche au fond. Termine",487642.0,4450792.0,281,81.0,81,"Katia, Clement, Denis",UP2023,-50.0950034,-75.1727770,,2.0
75,106060,Egg,Puits de l'Arche,PuitsdelArche,Puits de l'Arche explore par Lionel et Olivier,489099.0,4452897.0,201,0.0,0,"Olivier Guerard, Lionel Ruiz",UP2023,-50.0760998,-75.1523468,Lionel? ,
76,106061,Egg,ResurgenceGolondrina,ResurgenceGolondrina,"Resurgence dans le lagon vert, sous le Porche Eden",490023.0,4452633.0,0,,,"Franck Brehier, Jeremie Prieur",UP2023,-50.0784904,-75.1394403,,
77,106062,Egg,GrandeFailleDuBoutDuMonde,GrandeFailleDuBoutDuMonde,,488459.0,4453880.0,244,56.0,43,"Alexandre Honiat, Florian Rives, David , Jules Cluzeaux",UP2023,-50.0672570,-75.1612590,,
78,106063,Egg,TraverseeDeLIndecision,TraverseeDeLIndecision,,488092.0,4453227.0,280,108.0,19,"Alexandre Honiat, Florian Rives, David , Jules Cluzeaux",UP2023,-50.0731270,-75.1664040,,
79,106064,Egg,Reve Eveille,ReveEveille,,488605.0,4454050.0,145,331.0,124,"Alexandre Honiat, Florian Rives, David , Jules Cluzeaux",UP2023,-50.0657120,-75.1592130,,
80,106065,Egg,PorcheEden,PorcheEden,Petite grotte pre-exploree par les italiens/anglais? - au dessus de la resurgence des Golondrinas ,490023.0,4252633.0,5,76.0,29,"Florian Rives, Natalia Morata-Calvo",UP2023,-50.0672570,-75.1612590,,
81,106066,Egg,Casablanca,Casablanca,,490551.0,4450456.0,10,,,"""Caro, Medhi, Serge, Jeremie """,unknown,-50.0980788,-75.1321147,"Medhi, Jeremie",
82,107001,Barros Luco,Cueva des los Pescadores,CuevaDesLosPescadores,resurgence,482449.0,4444663.0,40,200.0,40,,UP2008,-50.1499956,-75.2456616,,
83,107002,Barros Luco,Resurgence XXX,ResurgenceXXX,Resurgence sous le niveau de la mer,478634.0,4447073.0,0,220.0,24,,UP2017,-50.1281955,-75.2989244,,
84,107003,Barros Luco,Deux grottes (double entree),DeuxGrottes,Repere le 25-01 par Buldo,478906.0,4446437.0,?,,?,,UP2017,-50.1339253,-75.2951542,,
85,107004,Barros Luco,Chattiere qui buffle,ChattiereQuiBuffle,"Arrêt sur rien, à poursuivre (prendre equipement)",482761.0,4445427.0,?,,?,,UP2017,-50.1431335,-75.2412600,,
86,107005,Barros Luco,Gouffre de la grotte ,GouffreDeLaGrotte,"A descendre. Repere le 25-02-2017 par Natalia, Jean Marc, Laurent, Joël (Nord camp du nid du condor)",479065.0,4447905.0,436,,?,,UP2017,-50.1207281,-75.2928488,,
87,107006,undefined,Cueva de los Gringos,LosGringos,"Descendu par Laurence et Arnauld, correspond surement à la grotte des 1001 cascades",,,??,64.0,47,,UP2017,inf,inf,,
88,107007,Barros Luco,Gouffre du camp du nid du condor,GouffreDuCampDuNidDuCondor,Etroit.. Mais continue!! Impenetrable,479389.0,4447402.0,311,,15,,UP2017,-50.1252633,-75.2883438,,
89,107008,Barros Luco,Emergence des tuyaux ( rameur),EmergenceDesTuyaux,"(pas sûr des coordonnees utm) (coordonnees : 50°077223 - 075°18.0107) Dans la baie d'accès au plateau nord, cote ouest. Au pied de falaise. Escalade possiblement à faire ( escalade faite par lionel ,denis,david)",479490.0,4447336.0,?,,?,,UP2017,-50.1258604,-75.2869344,,
90,107009,Barros Luco,Gouffre du Chameau,GouffreChameau,"A proximite du camp du champignon, arrêt sur trop etroit à la cote -113m",479556.0,4447204.0,380,162.0,113,,UP2017,-50.1270498,-75.2860182,,
91,107010,Barros Luco,perte du Point G,PerteDuPointG,"Bouche, debit de perte lors de la recon environ 5 L-s",478796.0,4448311.0,420,,20,,UP2017,-50.1170671,-75.2965891,,
92,107011,Barros Luco,Cueva d'el cabo vertical,CuevaCaboVertical,"Exploration Anthonyet Denis lors de l'incursion sur le Pacifique du 05-02-17.Explo y topo 15-02,Natalia,Buldo,Anton,Richard y Angel. Terminado.Gran porche con tubo-fisura ascendente por el lado sur con pequeño aporte que se cierra. Al norte rampa que lleva a tubo horizontal de buen tamaño, que termina en un pozo de 8 m. que enfrente recibe aporte que abajo del pozo se sifona.",476133.0,4447399.0,39,345.0,18--14,,UP2017,-50.1251682,-75.3338940,,
93,107012,Barros Luco,Porche de la coulee blanche,CouleeBlanche,"Le grand porche visible en entrant à droite dans la Bahia Blanca. Repere par Jean-Marc, Jo, Laurent et Franck. Escalade, topo et explo par Yann et Yannick le 13-02017. Escalade de 20 m derrière le porche d'entree permet de prendre pied dans un meandre, menant d'un côte à un autre porche en hauteur et de l'autre continue. Explo en cours.",482764.0,4445438.0,25 (estimation),84.0,26,,UP2017,-50.1430347,-75.2412175,,
94,107013,Barros Luco,Grotte des Canelures,GrotteDesCanelures,"Reperee et exploree le 13-02-17 par  Serge, Jose, Jean-François, Natalia et Franck. Vaste porche visible de la plage, au depart de l'accès au camp Nord. Montee en 15 min par la forêt puis le long d'une canelure. Meandre parcouru par un faible filet d'eau, explore sur 50 m sur une branche et 20 sur une autre. Arrêt sur passage etroit, l'explo peut être consideree comme terminee.",478876.0,4447299.0,"106, donnee GPS surestimee",,15,,UP2017,-50.1261716,-75.2955262,,
95,107014,Barros Luco,Las Duchas de San Pedro,DuchasDeSanPedro,"Decouverte par Natalia, Laurent, Jean-Marc et Joël. Deux entree reliee patr une galerie exondee. Un siphon amont explore depuis l'entree inferieur, sûrement en connection avec celui de l'entree superieure, mais jonction non faite. Le siphon descend jusqu'à -20, remonte à -5 vers la seconde entree, puis redescend à -13, terminus des explos. *Siphon de 96 m, -20. ",482357.0,4446971.0,ca 50 m,268.0,"45 (-41, +4)",,UP2017,-50.1292353,-75.2468425,,
96,107015,Barros Luco,Éte austral ,EteAustral, Decouvert et descendu par Anthonie et Yannick le 7 fevrier ,480135.0,4447658.0,411,105.0,83,,UP2017,-50.1229863,-75.2778942,,
97,107016,Barros Luco,Trou du carnet ,TrouDuCarnet,descendu par Yannick pour remonte le carnet tombe par Vicente le 7 fevrier,480211.0,4447632.0,429,,10,,UP2017,-50.1232227,-75.2768324,,
98,107017,Barros Luco,N1,N1,"Prospection et visite , Jose, Serge et Yannick ",482762.0,4445436.0,?,,0,,UP2017,-50.1430526,-75.2412456,,
99,107018,Barros Luco,N2,N2,"Prospection et visite , Jose, Serge et Yannick ",482762.0,4445436.0,?,,0,,UP2017,-50.1430526,-75.2412456,,
100,107019,Barros Luco,Gouffre du casque,GouffreCasque,1389m de topo,479879.0,4447862.0,347,1600.0,203,,UP2017,-50.1211430,-75.2814646,,
101,107020,Barros Luco,CN 16-02-1,CN16-02-1,"Gros gouffre, arrêt à -40",479373.0,4446955.0,387,,40,,UP2017,-50.1292829,-75.2885918,,
102,107021,Barros Luco,CN 16-02-2,CN16-02-2,Gros porche avec arrêt sur etroit,479569.0,4447160.0,387,,15,,UP2017,-50.1274460,-75.2858386,,
103,107022,Barros Luco,Madame Cafe,MadameCafe,,479547.0,4447215.0,384,66.0,47,,UP2017,-50.1269506,-75.2861435,,
104,107023,Barros Luco,CN 16-02-4,CN16-02-4,"Gouffre, arrêt à -25",479795.0,4447413.0,405,,25,,UP2017,-50.1251783,-75.2826634,,
105,107024,Barros Luco,CN 16-02-5,CN16-02-5,Trou près du camp nord 3 avec du debit. Il keut à -15,479591.0,4447357.0,383,,15,,UP2017,-50.1256750,-75.2855203,,
106,107025,Barros Luco,Resurgence Hongo,ResurgenceHongo,,478745.0,4446553.0,0,,29,,UP2019,-50.1328762,-75.2974004,,
107,107026,Barros Luco,PN01,PN01,,477817.0,4446753.0,60,,10,,UP2019,-50.1310435,-75.3103732,,
108,107027,Barros Luco,PN02,PN02,,477795.0,4446685.0,60,,15,,UP2019,-50.1316543,-75.3106850,,
109,107028,Barros Luco,Gouffre Jackpot,GouffreJackpot,,482804.0,4447950.0,369,,265,,UP2019,-50.1204435,-75.2405444,,
110,107029,Barros Luco,PC4 - Perte Cirque 4,PerteCirque4,,482664.0,4447782.0,362,,12,,UP2019,-50.1219504,-75.2425104,,
111,107030,Barros Luco,Cueva Cascada,CuevaCascada,,478605.0,4447058.0,,,52,,UP2019,-50.1283294,-75.2993310,,
112,107031,undefined,Punta Blanca,PuntaBlanca,,478574.0,4446622.0,,,,,UP2019,-50.1322495,-75.2997892,,
113,107032,Barros Luco,Les Arches Pourries,LesArchesPourries,"Cavite reperee par Clem, Cha, Jaime et Denis le 28.02.23, non descendu, puits d’entree estime entre 30 et 40m ; petite arche (fragile) au niveau de l’entree",482896.0,4448128.0,453,,,"Clement, Charlotte, Denis, Jaime",UP2023,-50.1188450,-75.2392520,,
114,107033,Barros Luco,Chaurienne,Chaurienne,"Cavite reperee par Clem, Cha, Jaime et Denis le 28.02.23, Large P50 non descendu",483111.0,4448156.0,475,,,"Clement, Charlotte, Denis, Jaime",UP2023,-50.1185980,-75.2362380,,
115,107034,Barros Luco,Les 3 porches,Les3Porches,"Cavite reperee par Clem, Cha, Jaime et Denis le 28.02.23, plan incline, retrecissement suivi d’un possible P40 (non descendu)",482981.0,4448472.0,534,,,"Clement, Charlotte, Denis, Jaime",UP2023,-50.1157580,-75.2380480,,
116,107035,Barros Luco,Puits du Kit,PuitsDuKit,"Cavite reperee par Gwladys et Nico le 27.02.23, non descendu",482141.0,4448011.0,407,,,"Gwladys Fontanieu, Nico",UP2023,-50.1198730,-75.2498210,,0.0
117,107036,Barros Luco,Gouffre de Helm,GouffreDeHelm,"Cavite reperee par Gwladys et Nico le 27.02.23, non descendu",482127.0,4448147.0,424,,,"Gwladys, Nico",UP2023,-50.1186540,-75.2500140,,0.0
118,107037,Barros Luco,Grotte du doute eternel,GrotteDuDouteEternel,"Cavite reperee par Gwladys et Nico le 27.02.23, non descendu",481915.0,4448257.0,461,,,"Gwladys, Nico",UP2023,-50.1186540,-75.2500140,,0.0
