X	Y	Z	_ID	_UID	_NAME	_SURVEY	_SURFACE	_FIXED	_ENTRANCE	_CONTINUA_	_COMMENT
482449	4444663	40	"1254"	"1254"	ENT_107001	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478634	4447073	0	"1255"	"1255"	ENT_107002	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478906	4446437	0	"1256"	"1256"	ENT_107003	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482761	4445427	0	"1257"	"1257"	ENT_107004	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479065	4447905	436	"1258"	"1258"	ENT_107005	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479490	4447336	361	"1259"	"1259"	ENT_107006	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479389	4447402	311	"1260"	"1260"	ENT_107007	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479490	4447336	0	"1261"	"1261"	ENT_107008	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479556	4447204	380	"1262"	"1262"	ENT_107009	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478796	4448311	420	"1263"	"1263"	ENT_107010	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
476133	4447399	39	"1264"	"1264"	ENT_107011	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482764	4445438	25	"1265"	"1265"	ENT_107012	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478876	4447299	106	"1266"	"1266"	ENT_107013	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482357	4446971	50	"1267"	"1267"	ENT_107014	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
480135	4447658	411	"1268"	"1268"	ENT_107015	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
480211	4447632	429	"1269"	"1269"	ENT_107016	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482762	4445436	0	"1270"	"1270"	ENT_107017	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482762	4445436	0	"1271"	"1271"	ENT_107018	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479879	4447862	347	"1272"	"1272"	ENT_107019	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479373	4446955	387	"1273"	"1273"	ENT_107020	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479569	4447160	387	"1274"	"1274"	ENT_107021	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479547	4447215	384	"1275"	"1275"	ENT_107022	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479795	4447413	405	"1276"	"1276"	ENT_107023	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
479591	4447357	383	"1277"	"1277"	ENT_107024	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478699.7	4446570.0	0	"1278"	"1278"	ENT_107025	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
477817	4446753	60	"1279"	"1279"	ENT_107026	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
477795	4446685	60	"1280"	"1280"	ENT_107027	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482804	4447950	369	"1281"	"1281"	ENT_107028	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
482664	4447782	362	"1282"	"1282"	ENT_107029	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478605	4447058	0	"1283"	"1283"	ENT_107030	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
478574	4446622	50	"1284"	"1284"	ENT_107031	107.UltimaPatagonia	"1"	"1"	"0"	"0"	
484150	4446766	406	"1318"	"1386"	"33"	OjoDeLaMadre.108.UltimaPatagonia	"0"	"0"	"1"	"0"	Ojo de la Madre
484295	4447150	365	"1344"	"1387"	"25"	OmbligoDeLaMadre.108.UltimaPatagonia	"0"	"0"	"1"	"0"	Ombligo de la Madre
484396	4447498	350	"1345"	"1398"	"0"	Lagrimas.108.UltimaPatagonia	"0"	"0"	"1"	"0"	Lagrimas de la Madre
484150	4446766	406	"1386"	"1386"	ENT_108001	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484295	4447150	365	"1387"	"1387"	ENT_108002	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484486	4447573	0	"1388"	"1388"	ENT_108003	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484396	4447498	294	"1389"	"1389"	ENT_108004	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484535	4448170	198	"1390"	"1390"	ENT_108005	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484595	4448213	180	"1391"	"1391"	ENT_108006	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484633	4448258	191	"1392"	"1392"	ENT_108007	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484956	4448483	220	"1393"	"1393"	ENT_108008	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
485157	4448585	225	"1394"	"1394"	ENT_108009	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
485495	4447616	317	"1395"	"1395"	ENT_108010	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
486016	4447774	290	"1396"	"1396"	ENT_108011	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
483835	4446220	417	"1397"	"1397"	ENT_108012	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
484396	4447498	350	"1398"	"1398"	ENT_108013	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
486742	4448369	15	"1399"	"1399"	ENT_108014	108.UltimaPatagonia	"1"	"1"	"0"	"0"	
485649	4444763	53	"1400"	"1943"	E12	TroisEntrees.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Grotte des trois entrees plus une
485602	4444774	60	"1781"	"1930"	"0"	QuatreEntreesPlusUne.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Grotte des Quatre EntrÃ©es Plus Une
485808	4445794	370	"1811"	"1932"	"0"	CuevaCaliza.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Cueva Caliza
485812	4445780	364	"1847"	"1936"	"0"	GouffreHalal.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Gouffre HALAL
485537	4445627	359	"1862"	"1937"	"0"	Gouffralail.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Gouffre Ã  l'AiÌl
485584	4445478	319	"1874"	"1939"	"0"	GrandeTraversee.109.UltimaPatagonia	"0"	"0"	"1"	"0"	La grande Traversee
485438	4445269	300	"1884"	"1941"	"0"	Gauges.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Gouffre des GaugÃ©s
485816	4445878	360	"1896"	"1942"	"0"	Pissotiere.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Gouffre de la PissotieÌre
486340	4445620	0	"1928"	"1945"	A20	PetiteChinoise.109.UltimaPatagonia	"0"	"0"	"1"	"0"	Exsurgence de la Petite Chinoise
485618	4444774	60	"1929"	"1929"	ENT_109001	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485602	4444774	60	"1930"	"1930"	ENT_109002	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485779	4445842	375	"1931"	"1931"	ENT_109003	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485808	4445794	370	"1932"	"1932"	ENT_109004	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485651	4445694	384	"1933"	"1933"	ENT_109005	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
486410	4445941	414	"1934"	"1934"	ENT_109006	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485737	4445148	278	"1935"	"1935"	ENT_109007	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485812	4445780	364	"1936"	"1936"	ENT_109008	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485537	4445627	359	"1937"	"1937"	ENT_109009	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485587	4445498	319	"1938"	"1938"	ENT_109010	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485584	4445478	319	"1939"	"1939"	ENT_109011	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
486478	4445928	388	"1940"	"1940"	ENT_109012	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485438	4445269	300	"1941"	"1941"	ENT_109013	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485816	4445878	360	"1942"	"1942"	ENT_109014	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485649	4444763	53	"1943"	"1943"	ENT_109015	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485795	4444848	36	"1944"	"1944"	ENT_109016	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
486340	4445620	0	"1945"	"1945"	ENT_109017	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
485880	4445791	0	"1946"	"1946"	ENT_109018	109.UltimaPatagonia	"1"	"1"	"0"	"0"	
476493.46	4441828.9	336.91	"1955"	"1955"	"8"	Ayayemal.201.UltimaPatagonia	"0"	"0"	"1"	"0"	Ayayemal
476217	4441660	314	"1956"	"2099"	"0"	Ayayebo.201.UltimaPatagonia	"0"	"0"	"1"	"0"	Ayayebo
479866	4441309	356	"1970"	"2089"	"0"	GB01.201.UltimaPatagonia	"0"	"0"	"1"	"0"	GB01
481244	4440093	29	"2008"	"2111"	"23"	Haricot.201.UltimaPatagonia	"0"	"0"	"1"	"0"	Escalade du haricot
481166	4440010	6	"2037"	"2057"	R1BL_24	Resurgence1.201.UltimaPatagonia	"0"	"0"	"1"	"0"	Resurgence1
478266	4438945	0	"2038"	"2038"	ENT_201001	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Resurgence 2 du Canyon
473138	4437000	325	"2039"	"2039"	ENT_201002	201.UltimaPatagonia	"1"	"1"	"0"	"0"	La Rabasse 3
473081	4438618	385	"2040"	"2040"	ENT_201003	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueve C4 SansNom 3 SansNom
473185	4437080	337	"2041"	"2041"	ENT_201004	201.UltimaPatagonia	"1"	"1"	"0"	"0"	La Rabasse 1
473614	4437045	273	"2042"	"2042"	ENT_201005	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 3
473794	4437339	294	"2043"	"2043"	ENT_201006	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 7
473598	4437045	290	"2044"	"2044"	ENT_201007	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 1
473527	4437152	338	"2045"	"2045"	ENT_201008	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 11
473512	4437140	340	"2046"	"2046"	ENT_201009	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva du TÃ©lÃ©phone
473749	4437328	309	"2047"	"2047"	ENT_201010	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 8
473423	4437558	492	"2048"	"2048"	ENT_201011	201.UltimaPatagonia	"1"	"1"	"0"	"0"	cueva C4 SansNom 8
473607	4437277	386	"2049"	"2049"	ENT_201012	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Trou du Marteau
473066	4437002	311	"2050"	"2050"	ENT_201013	201.UltimaPatagonia	"1"	"1"	"0"	"0"	La Rabasse 2
473378	4437631	526	"2051"	"2051"	ENT_201014	201.UltimaPatagonia	"1"	"1"	"0"	"0"	cueva C4 SansNom 9
473524	4437766	469	"2052"	"2052"	ENT_201015	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva C4 SansNom 7
473535	4437264	347	"2053"	"2053"	ENT_201016	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 10
473581	4437960	393	"2054"	"2054"	ENT_201017	201.UltimaPatagonia	"1"	"1"	"0"	"0"	??Secteur Barros Luco
473619	4437025	268	"2055"	"2055"	ENT_201018	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 2
473196	4437124	274	"2056"	"2056"	ENT_201019	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva C4 SansNom 5
481166	4440010	6	"2057"	"2057"	ENT_201020	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Resurgence 1
473580	4437961	393	"2058"	"2058"	ENT_201021	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva C4 SansNom 1
473519	4437155	335	"2059"	"2059"	ENT_201022	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 12
473690	4437099	272	"2060"	"2060"	ENT_201023	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 5
473520	4437115	8	"2061"	"2061"	ENT_201024	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 13
473276	4437291	412	"2062"	"2062"	ENT_201025	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva C4 SansNom 6
471000	4440731	9	"2063"	"2063"	ENT_201026	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Porche 2 Os de Baleine
473138	4437000	325	"2064"	"2064"	ENT_201027	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4T2
473066	4437002	310	"2065"	"2065"	ENT_201028	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4T3
473670	4437075	270	"2066"	"2066"	ENT_201029	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva 4
473185	4437080	337	"2067"	"2067"	ENT_201030	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4T1
473587	4437133	303	"2068"	"2068"	ENT_201031	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C3
473735	4437228	306	"2069"	"2069"	ENT_201032	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 Cueva 6
473607	4437277	385	"2070"	"2070"	ENT_201033	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 Cueva 9
473652	4437656	397	"2071"	"2071"	ENT_201034	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom10
473683	4437677	381	"2072"	"2072"	ENT_201035	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 9
473577	4438008	389	"2073"	"2073"	ENT_201036	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 Nfissure 0
473579	4438420	361	"2074"	"2074"	ENT_201037	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 8
473601	4438564	347	"2075"	"2075"	ENT_201038	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 7
473616	4438593	342	"2076"	"2076"	ENT_201039	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 6
473599	4438718	337	"2077"	"2077"	ENT_201040	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C5 Cueva2
473407	4438857	403	"2078"	"2078"	ENT_201041	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 1
473028	4438978	312	"2079"	"2079"	ENT_201042	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 4
473077	4439130	313	"2080"	"2080"	ENT_201043	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C5 Cueva3
473044	4439162	307	"2081"	"2081"	ENT_201044	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 3
473343	4439239	391	"2082"	"2082"	ENT_201045	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C5 Cueva1
473652	4437656	397	"2083"	"2083"	ENT_201046	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva de la casquette
473344	4439239	391	"2084"	"2084"	ENT_201047	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Champignon
473077	4439130	313	"2085"	"2085"	ENT_201048	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Gouffre du Colibri
473683	4437677	382	"2086"	"2086"	ENT_201049	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Trou de la Plaquette
473599	4438718	338	"2087"	"2087"	ENT_201050	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Porche du Sonnar
477006	4441940	0	"2088"	"2088"	ENT_201051	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Perte 3
479866	4441309	356	"2089"	"2089"	ENT_201052	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Trou GB 01
480018	4441221	351	"2090"	"2090"	ENT_201053	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB2
479883	4441642	239	"2091"	"2091"	ENT_201054	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB3
476404	4442053	0	"2092"	"2092"	ENT_201055	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Perte 2
476668	4441599	303	"2093"	"2093"	ENT_201056	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB Trou 1
476670	4441599	306	"2094"	"2094"	ENT_201057	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB Trou 2
476570	4441550	329	"2095"	"2095"	ENT_201058	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB Trou 3
476811	4441550	298	"2096"	"2096"	ENT_201059	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB Trou 5
476555	4442064	0	"2097"	"2097"	ENT_201060	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Gouffre du Totem
476491	4441850	292	"2098"	"2098"	ENT_201061	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Ayayemal
476217	4441660	314	"2099"	"2099"	ENT_201062	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Ayayebo
476293	4441568	344	"2100"	"2100"	ENT_201063	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB1 bis
476287	4441655	364	"2101"	"2101"	ENT_201064	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Gouffre
476316	4440859	596	"2102"	"2102"	ENT_201065	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
476028	4441666	277	"2103"	"2103"	ENT_201066	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
475784	4441912	388	"2104"	"2104"	ENT_201067	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
475808	4441893	380	"2105"	"2105"	ENT_201068	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB 07 02-1
475787	4441900	382	"2106"	"2106"	ENT_201069	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB 07 02-2
476036	4441670	295	"2107"	"2107"	ENT_201070	201.UltimaPatagonia	"1"	"1"	"0"	"0"	GB 07 02-3
476576	4441740	281	"2108"	"2108"	ENT_201071	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
476632	4441445	378	"2109"	"2109"	ENT_201072	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
476597	4441532	316	"2110"	"2110"	ENT_201073	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Gouffre du Ziploc
481244	4440093	29	"2111"	"2111"	ENT_201074	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Cueva Haricot
475551	4442964	285	"2112"	"2112"	ENT_201075	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Sumidero del Chorizo Plastico
475670	4442920	323	"2113"	"2113"	ENT_201076	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
475375	4442069	430	"2114"	"2114"	ENT_201077	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
475272	4442209	460	"2115"	"2115"	ENT_201078	201.UltimaPatagonia	"1"	"1"	"0"	"0"	SANS NOM
473005	4437401	471	"2116"	"2116"	ENT_201079	201.UltimaPatagonia	"1"	"1"	"0"	"0"	C4 SansNom 10
470851	4437247	13	"2117"	"2117"	ENT_201080	201.UltimaPatagonia	"1"	"1"	"0"	"0"	pacifique nord Porche 1
472954	4437990	662	"2118"	"2118"	SOMMET360	201.UltimaPatagonia	"1"	"1"	"0"	"0"	Sommet 360Â°
472902	4437730	603	"2119"	"2119"	BLOCSGRES	201.UltimaPatagonia	"1"	"1"	"0"	"0"	blocks de GrÃ¨s
472905	4434743	253	"2120"	"2120"	ENT_203001	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
473028	4434786	258	"2121"	"2121"	ENT_203002	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
473145	4434865	249	"2122"	"2122"	ENT_203003	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
473023	4434914	252	"2123"	"2123"	ENT_203004	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
472899	4435932	34	"2124"	"2124"	ENT_203005	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
472591	4435495	119	"2125"	"2125"	ENT_203006	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
472563	4435496	121	"2126"	"2126"	ENT_203007	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
473096	4434992	334	"2127"	"2127"	ENT_203008	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
472629	4435676	105	"2128"	"2128"	ENT_203009	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
470851	4437247	13	"2129"	"2129"	ENT_203010	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
470883	4433935	35	"2130"	"2130"	ENT_203011	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
471003	4434013	0	"2131"	"2131"	ENT_203012	203.UltimaPatagonia	"1"	"1"	"0"	"0"	
474630	4432456	153	"2147"	"2236"	F0	GouffreGazelle.204.UltimaPatagonia	"0"	"0"	"1"	"0"	GouffreGazelle
475586	4431730	130	"2165"	"2238"	"0"	GrotteFaussePucelle.204.UltimaPatagonia	"0"	"0"	"1"	"0"	Grotte de la Fausse Pucelle
474547.66	4432393.4	137.59	"2175"	"2175"	A0	GouffreAlouette.204.UltimaPatagonia	"0"	"0"	"1"	"0"	GouffreAlouette
475708	4431755	170	"2225"	"2245"	G5	GrotteCacahuete.204.UltimaPatagonia	"0"	"0"	"1"	"0"	Grotte de la CacahuÃ¨te
474630	4432456	153	"2236"	"2236"	ENT_204001	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Gouffre de la Gazelle
474370	4432520	74	"2237"	"2237"	ENT_204002	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Eveque Cauchon
475586	4431730	130	"2238"	"2238"	ENT_204003	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Grotte de la fausse Pucelle
474570	4432422	145	"2239"	"2239"	ENT_204004	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Grotte de l'Alouette
473390	4434247	316	"2240"	"2240"	ENT_204005	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Trou des Canelures
473289	4434576	305	"2241"	"2241"	ENT_204006	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Perte
474168	4435461	157	"2242"	"2242"	ENT_204007	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Perte
472046	4433537	84	"2243"	"2243"	ENT_204008	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Grotte du Rapace
471984	4433604	50	"2244"	"2244"	ENT_204009	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Grotte de l'Oursin
475708	4431755	170	"2245"	"2245"	ENT_204010	204.UltimaPatagonia	"1"	"1"	"0"	"0"	Grotte de la CacahuÃ¨te
468749	4428616	2	"2246"	"2410"	"0"	AbriCotier.205.UltimaPatagonia	"0"	"0"	"1"	"0"	Abri CÃ´tier
472991	4429200	250	"2302"	"2413"	"0"	PerteDesDents.205.UltimaPatagonia	"0"	"0"	"1"	"0"	Perte Des Dents
472888	4429344	233	"2368"	"2414"	"0"	SumideroJuanito.205.UltimaPatagonia	"0"	"0"	"1"	"0"	Sumidero Juanito
471572	4429671	357	"2392"	"2440"	"0"	GrotteAudeline.205.UltimaPatagonia	"0"	"0"	"1"	"0"	Grotte de l'Audeline
