,CAD_NUM,NomCadastre,Nom_complet,X (UTM 18 Sud),Y (UTM 18 Sud),Alt.,Dev. Topo,Termine?,Dev.estimé,Prof.,UP,Commentaire,Explorateurs
56,ENT_109001,TroisPorches,Grotte des 3 Porches,485618.0,4444774.0,60,280.0,non,120,-32-+17,2008,Arrêt sur puits,
57,ENT_109002,TroisPorches,Grotte des 3 Porches,485602.0,4444774.0,60,,oui,,,2008,Occupation humaine,
389,ENT_109003,CuevaBarachos,Cueva Barachos,485779.0,4445842.0,375,,,10,8,2019,,
390,ENT_109004,CuevaCaliza,Cueva Caliza,485808.0,4445794.0,370,,,200,100,2019,,
391,ENT_109005,EnDesespoirDeCause,En desespoir de Cause,485651.0,4445694.0,384,,,40,40,2019,,
392,ENT_109006,P10,P10,486410.0,4445941.0,414,,,10,10,2019,,
393,ENT_109007,PetiteGrotte,petite Grotte,485737.0,4445148.0,278,,,20,6,2019,,
394,ENT_109008,GouffreHalal,Gouffre Halal,485812.0,4445780.0,,,,128,105,2019,,
395,ENT_109009,Gouffralail,Gouffre A l'Aïl,485537.0,4445627.0,359,,,71,46,2019,,
396,ENT_109010,GouffreMaPremiere,Gouffre Ma première,485587.0,4445498.0,319,,,25,25,2019,,
397,ENT_109011,GrandeTraversee,Gouffre La Grande Traversée,485584.0,4445478.0,319,,,86,"-4, +11",2019,,
398,ENT_109012,CuevaDeLaMerienda,Cueva de la Merienda,486478.0,4445928.0,388,,,10,2,2019,,
399,ENT_109013,Gauges,Gouffre des Gaugés,485438.0,4445269.0,300,,,102,89,2019,,
400,ENT_109014,Pissotiere,Gouffre la Pissotière,485816.0,4445878.0,360,,,50,24,2019,,
401,ENT_109015,TroisEntreesPlusUne,Grotte des trois entrées plus une,485649.0,4444763.0,53,,,3024,"-54, +78",2019,,
404,ENT_109016,TrouDeLaChattiere,Gouffre de la Chatiere,485795.0,4444848.0,36,,,120,36,2019,,
410,ENT_109017,PetiteChinoise,Resurgence de la Petite Chinoise,486340.0,4445620.0,,,,340,83,2019,,
412,ENT_109018,ParaisoDeLasDuchas,Paraiso de las duchas,485880.0,4445791.0,,,,218,133,2019,,
60,ENT_109019,Résurgence 3,Résurgence 3,485684.0,4444706.0,0,,non,,,2008,2 m3-s,
59,ENT_201001,Resurgence2DuCanyon,Résurgence 2 du Canyon,478266.0,4438945.0,0,40.0,non,,-4-+2,2008,Arrêt sur galerie exondé post S1 (-4m-30m),
105,ENT_201002,LaRabasse3,La Rabasse 3,473138.0,4437000.0,325,0.0,oui,145,-50,2010,,José-Buldo-Vanessa
132,ENT_201002,C4T2,C4T2,473138.0,4437000.0,325,,,,,2010,,Buldo
106,ENT_201003,Secteur Barros Luco,Secteur Barros Luco,473081.0,4438618.0,385,0.0,oui,130,-50,2010,,José-Vanessa-Buldo-Sergio
124,ENT_201003,Secteur Barros Luco,Secteur Barros Luco,473081.0,4438618.0,385,0.0,oui,20,-12,2010,,José-Vanessa-Buldo-Sergio
107,ENT_201004,LaRabasse1,La Rabasse 1,473185.0,4437080.0,337,0.0,oui,92,-40,2010,,José-Buldo-Vanessa
135,ENT_201004,C4T1,C4T1,473185.0,4437080.0,337,,,,,2010,,Buldo
108,ENT_201005,Cueva3,Cueva 3,473614.0,4437045.0,273,0.0,oui,61,-35,2010,,José-Cédric
109,ENT_201006,Cueva7,Cueva 7,473794.0,4437339.0,294,0.0,oui,51,-35,2010,,José
110,ENT_201007,Cueva1,Cueva 1,473598.0,4437045.0,290,0.0,oui,52,-30,2010,,José-Cédric
111,ENT_201008,Cueva11,Cueva 11,473527.0,4437152.0,338,0.0,oui,38,-28,2010,,Serge-Jean Phi-Cédric
112,ENT_201009,CuevaDuTelephone,Cueva du Téléphone,473512.0,4437140.0,340,0.0,oui,38,-26,2010,,Vanessa-Serge
113,ENT_201010,Cueva8,Cueva 8,473749.0,4437328.0,309,0.0,oui,30,-26,2010,,Cédric
114,ENT_201011,cueva101,cueva,473423.0,4437558.0,492,0.0,oui,30,-25,2010,,"Buldo, José, Jean Phi"
138,ENT_201012,C4Cueva 9,C4 Cueva 9,473607.0,4437277.0,385,,,,,2010,,Cédric
115,ENT_201012,TrouDuMarteau,Trou du Marteau,473607.0,4437277.0,386,0.0,oui,25,-21,2010,Situé au dessus du camp 4 Arrêt sur éboulis (peu d'interré),Cedric-Vanessa-Serge
133,ENT_201013,C4T3,C4T3,473066.0,4437002.0,310,,,,,2010,,Buldo
116,ENT_201013,LaRabasse2,La Rabasse 2,473066.0,4437002.0,311,0.0,oui,35,-20,2010,,José-Buldo-Vanessa
117,ENT_201014,cueva102,cueva,473378.0,4437631.0,526,0.0,non,25,-20,2010,,"Buldo, José, Jean phi"
119,ENT_201015,Cueva104,Cueva,473524.0,4437766.0,469,0.0,oui,20,-20,2010,,"Buldo, José, Jean Phi"
120,ENT_201016,Cueva10,Cueva 10,473535.0,4437264.0,347,0.0,oui,45,-15,2010,,José-Cédric
121,ENT_201017,Secteur Barros Luco,Secteur Barros Luco,473581.0,4437960.0,393,0.0,oui,30,-15,2010,,José-Vanessa-Buldo-Sergio
122,ENT_201018,Cueva2,Cueva 2,473619.0,4437025.0,268,0.0,oui,28,-15,2010,,José-Cédric
123,ENT_201019,Cueva105,Cueva,473196.0,4437124.0,274,0.0,oui,20,-15,2010,,"José, Serge, Vanessa, Buldo, Jean Phi"
125,ENT_201021,Secteur Barros Luco,Secteur Barros Luco,473580.0,4437961.0,393,0.0,oui,13,-10,2010,,José-Vanessa-Buldo-Sergio
126,ENT_201022,Cueva12,Cueva 12,473519.0,4437155.0,335,0.0,oui,33,-8,2010,,Serge-Jean Phi-Cédric (porche)
127,ENT_201023,Cueva5,Cueva 5,473690.0,4437099.0,272,0.0,oui,24,-8,2010,,José-Cédric
128,ENT_201024,Cueva13,Cueva 13,473520.0,4437115.0,8,0.0,oui,15,-8,2010,,Serge-Jean Phi-Cédric
129,ENT_201025,Secteur Barros Luco,Secteur Barros Luco,473276.0,4437291.0,412,0.0,oui,15,-8,2010,,José-Vanessa-Buldo-Sergio
130,ENT_201026,PorcheBaleine,Porche 2 Os de Baleine,471000.0,4440731.0,9,0.0,oui,120,15,2010,Découverte d'ossements de baleine et de lobos (photos disponibles),Jean Phi-Cédric (os baleine+coquillages)
134,ENT_201029,Cueva4,Cueva 4,473670.0,4437075.0,270,,,,,2010,,Cédric
136,ENT_201031,C3,C3,473587.0,4437133.0,303,,,,,2010,,Buldo
137,ENT_201032,C4Cueva6,C4 Cueva 6,473735.0,4437228.0,306,,,,,2010,,
139,ENT_201034,C4SansNom10,C4 SansNom10,473652.0,4437656.0,397,,,,,2010,,Cédric
151,ENT_201034,CuevaDeLaCasquette,Cueva de la casquette,473652.0,4437656.0,397,0.0,oui,70,-48,2010,Entrée étroite de la largeur du corps beau donnantsur un puit vertical style cathédrale de 30m (cavité avec plusieurs entrées),Cedric-Vanessa-Serge
154,ENT_201035,TrouDeLaPlaquette,Trou de la Plaquette,473683.0,4437677.0,382,0.0,oui,45,-23,2010,salle d'effondrement ouverte qui fait au gouffre de la casquette dans un alignement de gouffres qui se suivent vers le Barros Luco,Cedric-Vanessa-Serge
140,ENT_201035,C4SansNom9,C4 SansNom 9,473683.0,4437677.0,381,,,,,2010,,Cédric
141,ENT_201036,C4Nfissure0,C4 Nfissure 0,473577.0,4438008.0,389,,,,,2010,,Cédric
142,ENT_201037,C4SansNom8,C4 SansNom 8,473579.0,4438420.0,361,,,,,2010,,Cédric
143,ENT_201038,C4SansNom7,C4 SansNom 7,473601.0,4438564.0,347,,,,,2010,,Cédric
144,ENT_201039,C4SansNom6,C4 SansNom 6,473616.0,4438593.0,342,,,,,2010,,Cédric
155,ENT_201040,PorcheDuSonnar,Porche du Sonnar,473599.0,4438718.0,338,0.0,oui,26,-20,2010,arrêt sur éboulis,Cedric-Jose-JeanPhilippe-Serge
145,ENT_201040,C5Cueva2,C5 Cueva2,473599.0,4438718.0,337,,,,,2010,,Cédric
146,ENT_201041,C4SansNom1,C4 SansNom 1,473407.0,4438857.0,403,,,,,2010,,Cédric
147,ENT_201042,C4SansNom4,C4 SansNom 4,473028.0,4438978.0,312,,,,,2010,,Cédric
148,ENT_201043,C5Cueva3,C5 Cueva3,473077.0,4439130.0,313,,,,,2010,,Cédric
153,ENT_201043,GouffreDuColibri,Gouffre du Colibri,473077.0,4439130.0,313,,non,56,-30,2010,Gouffre d'éffondrement ouvert avec possibilité de continuation mais éboulis instable (plus grosse entrée de la doline),Cedric-Jose-JeanPhilippe-Serge
149,ENT_201044,C4SansNom3,C4 SansNom 3,473044.0,4439162.0,307,,,,,2010,,Cédric
150,ENT_201045,C5 Cueva1,C5 Cueva1,473343.0,4439239.0,391,,,,,2010,,Cédric
152,ENT_201047,Champignon,Champignon,473344.0,4439239.0,391,0.0,oui,60,-45,2010,Situé au dessus du camp 5 près du seul champignon du secteur. Gros puit vertical de plus de 40m qui suit une faille,Cedric
330,ENT_201051,Perte3,Perte 3,477006.0,4441940.0,,,oui,?,?,2017,Explo perminée. Arret à -15,
331,ENT_201052,GB1,GB1,479866.0,4441309.0,356,,non,?,?,2017,"23-01-2017 non descendu, à faire.",
332,ENT_201053,GB2,GB2,480018.0,4441221.0,351,,non,?,?,2017,"23-01-2017 non descendu, à faire.",
333,ENT_201054,GB3,GB3,479883.0,4441642.0,239,,non,?,?,2017,"P 50, à descendre, 23-01-17, non descendu,à faire",
334,ENT_201055,Perte2,Perte 2,476404.0,4442053.0,,,?,?,?,2017,Pas d'information,
335,ENT_201056,GBTrou1,GB Trou 1,476668.0,4441599.0,303,46.0,oui,46,41,2017,Calcaire,
336,ENT_201057,GBTrou2,GB Trou 2,476670.0,4441599.0,306,,oui,20,15,2017,Calcaire,
337,ENT_201058,GBTrou3,GB Trou 3,476570.0,4441550.0,329,,oui,30,25,2017,Calcaire,
338,ENT_201059,GB Trou 5,GB Trou 5,476811.0,4441550.0,298,,?,?,?,2017,Calcaire,
339,ENT_201060,GouffreDuTotem,Gouffre du Totem,476555.0,4442064.0,?,,?,?,?,2017,"Grosse perte à proximitédu camp GB, descendue jusque -40, arrêt sur trop peur",
346,ENT_201061,Ayayemal,Ayayémal,476491.0,4441850.0,292,,oui,?,?,2017,Pas d'information,
347,ENT_201062,Ayayebo,Ayayébo,476217.0,4441660.0,314,160.0,Oui,160,96,2017,"P28 suivi de 2 puits parallèle, 1 descendu (35m) coté ""sec"" le 31-01-17 et branche active descendue le 08-02-17, arrêt à -96 sur étroit plein d'eau",
348,ENT_201063,GB1bis,GB1 bis,476293.0,4441568.0,344,,non,?,?,2017,Au dessus du GB 30-01-2017 1. A explorer,
349,ENT_201064,Gouffre2,Gouffre ,476287.0,4441655.0,364,,non,?,?,2017,à descendre. P15 avec une fenêtre qui semble donner un accès à un puits parallèle.,
350,ENT_201065,SANS NOM,SANS NOM,476316.0,4440859.0,596,,non,?,?,2017,S'ouvre au sommet de la crête. A explorer. Dans zone assez broyée. Etre dos au sommet pour voir l'entrée…,
351,ENT_201066,SANS NOM,SANS NOM,476028.0,4441666.0,277,,non,?,?,2017,"Gouffre environ 30m à explorer ? Danger, zone broyée, paroies instables…",
352,ENT_201067,SANS NOM,SANS NOM,475784.0,4441912.0,388,,non,?,?,2017,Porche qui queute proche du contact calcaire grès,
358,ENT_201068,GB-07-02-1,GB 07 02-1,475808.0,4441893.0,380,,oui,40,30,2017,Pas d'information,
359,ENT_201069,GB-07-02-2,GB 07 02-2,475787.0,4441900.0,382,,oui,45,40,2017,Pas d'information,
360,ENT_201070,GB-07-02-3,GB 07 02-3,476036.0,4441670.0,295,,non,30,30,2017,Arrêt sur trou foireux délité,
361,ENT_201071,SANS NOM,SANS NOM,476576.0,4441740.0,281,45.0,oui,45,43,2017,Gouffre borgne avec quelques paliers sans suite,
362,ENT_201072,SANS NOM,SANS NOM,476632.0,4441445.0,378,,non,15,15,2017,Petits puits colmaté,
363,ENT_201073,GouffreDuZiploc,Gouffre du Ziploc,476597.0,4441532.0,316,44.0,oui,44,30,2017,,
377,ENT_201074,CuevaHarrico,Cueva Harrico,481244.0,4440093.0,29,254.0,oui,254,+85,2017,Situada en las paredes sur de Punta Indice;Escalada desde el mar a gran boca; rampa ascendente y llegamos a un tubo con aire que termina cerrandose; Explo (Anton y Angel),
378,ENT_201075,SumideroDelChorizoPlastico,Sumidero del Chorizo Plastico,475551.0,4442964.0,285,,oui,50,30,2017,Sumidero al otro lado del collado al norte del campamento,
379,ENT_201076,SANS NOM,SANS NOM,475670.0,4442920.0,323,,?,?,?,2017,Explorada por( Denis y Anton) Cueva de derrumbe y bloques cercq del Sumidero,
380,ENT_201077,SANS NOM,SANS NOM,475375.0,4442069.0,430,,oui,45,45,2017,Sima bajada por David y Anton con craneos de Coivos ,
381,ENT_201078,SANS NOM,SANS NOM,475272.0,4442209.0,460,,,?,?,2017,Zona de grandes bocas de simas muy interesantes Al menos tres bocas de grqndes dimensiones,
131,ENT_201080,Porche1,Porche 1,470851.0,4437247.0,13,0.0,oui,50,30,2010,"Porche situé avant la plage du Pacifique sur la rive gauche de la rivière (visible depuis la fin du lapiaz du camp 4, le porche s'ouvre 30 m au-dessus de la rivière) Pas de découverte particulière.",Jean Phi-Cédric (Plage Pacifique)
376,ENT_202001,GrotteDesDauphins,grottes des dauphins,481705.0,4438320.0,5,,oui,323,????,2017,"Explo et topo Serge , José , Yannick (dessin Yannick )",
93,ENT_203001,PerteDuCoypo,Perte du Coypo,472905.0,4434743.0,253,283.0,oui,283,-191,2010,Perte très active présentant de beaux puits et un superbe méandre.,"Jean-Francois H, Thomas, Florian, Olivier T"
94,ENT_203002,GouffreFelin,Gouffre Félin,473028.0,4434786.0,258,294.0,oui,294,-121,2010,beau réseau de puits,"Olivier T, Isa, Florian, Thomas"
95,ENT_203003,PuitsDuBourdon,Puits du Bourdon,473145.0,4434865.0,249,107.0,oui,107,-48,2010,"puits donnant sur un superbe méandre cannelé, arrêt sur étroiture","Isa, Olivier T"
96,ENT_203004,GrosTrou,Gros Trou,473023.0,4434914.0,252,30.0,oui,30,-15,2010,aven s'ouvrant dans le grès,"Isa, Olivier T"
97,ENT_203005,Résurgence,Résurgence,472899.0,4435932.0,34,,oui,10,0,2010,"Résurgence sur faille, impénétrable","Isa, Olivier T"
98,ENT_203006,Résurgence,Résurgence,472591.0,4435495.0,119,,oui,0,0,2010,Résurgence non pénétrable,"Isa, Olivier T"
99,ENT_203007,Résurgence,Résurgence,472563.0,4435496.0,121,,oui,0,0,2010,Résurgence non pénétrable,"Isa, Olivier T"
102,ENT_203008,Aven C301,Aven C301,473096.0,4434992.0,334,,?,,,2010,P30 non descendu peu interessant,"Isa, Olivier T"
104,ENT_203009,Aven,Aven,472629.0,4435676.0,105,,?,,,2010,Perte très très intéressante à aller voir,"Isa, Olivier T"
156,ENT_203011,AbriDuGazon,Abri du Gazon,470883.0,4433935.0,35,,oui,20,0,2010,Grand porche 20m de diamètre dans le grès en bord de plage,"Olivier T, Florian"
166,ENT_203012,GrotteDuNord,Grotte du Nord,471003.0,4434013.0,0,,oui,,,2010,"Petite cavité en bord de mer avec charbons, ossement, arêtes de poisson","Olivier T, Florian"
92,ENT_204001,GouffreAlouette,Grotte de l'Alouette,474630.0,4432456.0,153,,oui,,,2010,"explo topo équipe 1 du camp 2 (""les doigts bleus"") le 31-01-2010. Gazelle et Alouette communiquent (même sans radio…)",
79,ENT_204001,GouffreGazelle,Gouffre de la Gazelle,474630.0,4432456.0,153,505.0,oui,505,-65,2010,"explo topo équipe 1 du camp 2 (""les doigts bleus"") le 31-01-2010. Gazelle et Alouette communiquent (même sans radio…)","Arnaud, Fabien, Bruno, Denis, Steph"
80,ENT_204002,EvequeCauchon,Evêque Cauchon,474370.0,4432520.0,74,235.0,oui,235,-58,2010,"Découverte par equipe 1 du camp 2 le 02-02-2010. Topographié ensuite par équipe du camp 4. Accés collecteur local, débit >100 L-s","Cédric, Vanessa, Bruno, Didier, Fabien, Stéphane, Denis, Arnauld"
83,ENT_204003,GrotteFaussePucelle,Grotte de la fausse Pucelle,475586.0,4431730.0,130,117.0,oui,117,-30,2010,"redécouverte par équipe 1 du camp 2 le 01-02-2010 (découverte ""oubliée"" (non topo) par Richard et Jo en raid-éclair en 2000 depuis camp perte du Temps), env. 3 m3-s en crue. Située une centaine de mètres en amont (vers l'est) de la Fausse Pucelle).",Les doigts bleus
100,ENT_204005,TrouDesCanelures,Trou des Canelures,473390.0,4434247.0,316,,?,,,2010,,Isa
101,ENT_204006,Perte1,Perte,473289.0,4434576.0,305,,?,,,2010,Perte à voir ,"Olivier T, Isa"
103,ENT_204007,Perte2,Perte,474168.0,4435461.0,157,,?,,,2010,Perte à voir,"Olivier T, Isa"
161,ENT_204008,GrotteDuRapace,Grotte du Rapace,472046.0,4433537.0,84,0.0,non,50,6,2010,"joli petit méandre, arrêt sur trémie, deux petits départ laissé, sans grand intérêt","Olivier T, Florian"
163,ENT_204009,GrotteDeLOursin,Grotte de l'Oursin,471984.0,4433604.0,50,175.0,non,175,25,2010,"Résurgence fossile (?) avec gros courant d'air, au pied du lapiaz. Campement nomade probable. Patelles, os, charbons. Colobris trogloxènes morts. Jolies excentriques et concretionnement ","Olivier T, Isa, Florian, Thomas, Jean Francois H"
24,ENT_205001,AbriCotier,Abri Cotier,468749.0,4428616.0,2,80.0,oui,,5,2008,Occupation humaine,
30,ENT_205002,AbriDuCerfeuil,Abri du Cerfeuil,469246.0,4429044.0,183,,oui,,,2008,Occupation humaine,
